Stage,Location,RelativeName,RelativeCategory,RevelationOrMilestone,PrimaryEnemies,Boss,BossWeakness,MissionHook,PowerUnlocked,MapFeatures,StealthTip,ShamanWisdom
1,Ashenport Docks,Aunt Leena,women,Shaman appears; mission brief begins.,"Ash Scorpions, Siege Grenadier",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Aunt Leena from Ashenport Docks. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
2,Obsidian Bazaar,Sister Mira,women,Family secret revealed: player is heir to the lost throne.,"Blight Boars, Hex Warlock",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Sister Mira from Obsidian Bazaar. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
3,Sapphire Cliffs,Uncle Joran,men,,"Tide Serpents, Siege Grenadier, Blight Captain",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Uncle Joran from Sapphire Cliffs. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
4,Ember Hollow,Niece Pina,children,,"Razor Eagles, Bollock Raider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Niece Pina from Ember Hollow. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
5,Verdant Sprawl,Brother Kael,men,,"Frost Lynxes, Rift Scout",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Brother Kael from Verdant Sprawl. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
6,Gale Citadel,Cousin Aria,women,,"Feral Wolfpack, Shock Lancer, Blight Captain",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Aria from Gale Citadel. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
7,Moonveil Ruins,Nephew Iko,children,,"Ash Scorpions, Shadow Archer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Nephew Iko from Moonveil Ruins. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
8,Crimson Steppe,Cousin Nyla,women,,"Feral Wolfpack, Shadow Archer",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Nyla from Crimson Steppe. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
9,Ironroot Mines,Aunt Rhea,women,,"Blight Boars, Shock Lancer, Crimson Pyromancer",Storm Titan Oxx,Grounded by conductive chains,Rescue Aunt Rhea from Ironroot Mines. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
10,Stormglass Keep,Cousin Sera,women,,"Blight Boars, Siege Grenadier",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Sera from Stormglass Keep. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
