Stage,Location,RelativeName,RelativeCategory,RevelationOrMilestone,PrimaryEnemies,Boss,BossWeakness,MissionHook,PowerUnlocked,MapFeatures,StealthTip,ShamanWisdom
1,Ashenport Docks,Niece Pina,children,Shaman appears; mission brief begins.,"Frost Lynxes, Bollock Raider",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Niece Pina from Ashenport Docks. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
2,Obsidian Bazaar,Uncle Joran,men,Family secret revealed: player is heir to the lost throne.,"Swarm Spiders, Iron Mauler",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Uncle Joran from Obsidian Bazaar. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
3,Sapphire Cliffs,Aunt Leena,women,,"Razor Eagles, Rift Scout, Dread Corsair",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Aunt Leena from Sapphire Cliffs. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
4,Ember Hollow,Nephew Iko,children,,"Frost Lynxes, Hex Warlock",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Nephew Iko from Ember Hollow. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
5,Verdant Sprawl,Cousin Lumo,children,,"Frost Lynxes, Hex Warlock",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Lumo from Verdant Sprawl. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
6,Gale Citadel,Cousin Rini,children,,"Ash Scorpions, Bollock Raider, Dread Corsair",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Rini from Gale Citadel. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
7,Moonveil Ruins,Brother Kael,men,,"Blight Boars, Shadow Archer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Brother Kael from Moonveil Ruins. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
8,Crimson Steppe,Niece Sumi,children,,"Grim Bears, Rift Scout",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Niece Sumi from Crimson Steppe. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
9,Ironroot Mines,Nephew Tajo,children,,"Tide Serpents, Rift Scout, Crimson Pyromancer",Storm Titan Oxx,Grounded by conductive chains,Rescue Nephew Tajo from Ironroot Mines. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
10,Stormglass Keep,Cousin Miri,children,,"Swarm Spiders, Bollock Raider",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Miri from Stormglass Keep. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
11,Dune Sea Outpost,Cousin Poro,children,,"Blight Boars, Hex Warlock",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Poro from Dune Sea Outpost. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
12,Rivergate,Sister Mira,women,,"Tide Serpents, Sand Rider, Dread Corsair",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Sister Mira from Rivergate. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
13,Frostfang Tundra,Cousin Daro,men,,"Ash Scorpions, Iron Mauler",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Daro from Frostfang Tundra. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
14,Sunspire Plateau,Niece Yani,children,,"Swarm Spiders, Iron Mauler",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Niece Yani from Sunspire Plateau. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
15,Whispering Marsh,Cousin Bram,men,,"Grim Bears, Iron Mauler, Blight Captain",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Bram from Whispering Marsh. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
16,Nightorch Yard,Uncle Fen,men,,"Swarm Spiders, Hex Warlock",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Uncle Fen from Nightorch Yard. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
17,Cobalt Narrows,Nephew Zed,children,,"Ash Scorpions, Hex Warlock",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Nephew Zed from Cobalt Narrows. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
18,Thornmere,Niece Pina,children,,"Tide Serpents, Shock Lancer, Dread Corsair",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Niece Pina from Thornmere. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
19,Aurora Crater,Nephew Iko,children,,"Frost Lynxes, Shock Lancer",Storm Titan Oxx,Grounded by conductive chains,Rescue Nephew Iko from Aurora Crater. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
20,Seabreak Fort,Cousin Lumo,children,,"Razor Eagles, Shadow Archer",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Lumo from Seabreak Fort. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
21,Shattered Causeway,Cousin Rini,children,,"Tide Serpents, Rift Scout, Golem Wrangler",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Rini from Shattered Causeway. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
22,Hushwind Grove,Niece Sumi,children,,"Ash Scorpions, Shock Lancer",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Niece Sumi from Hushwind Grove. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
23,Cobalt Reef,Cousin Tor,men,,"Tide Serpents, Hex Warlock",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Tor from Cobalt Reef. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
24,Ivory Bastion,Brother Iven,men,,"Tide Serpents, Iron Mauler, Bone Shaman",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Brother Iven from Ivory Bastion. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
25,Hearthfall Town,Cousin Aria,women,,"Ash Scorpions, Bollock Raider",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Aria from Hearthfall Town. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
26,Starfall Observatory,Cousin Nyla,women,,"Razor Eagles, Hex Warlock",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Nyla from Starfall Observatory. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
27,Ravenwall,Nephew Tajo,children,,"Feral Wolfpack, Bollock Raider, Golem Wrangler",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Nephew Tajo from Ravenwall. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
28,Hollow Reef,Uncle Rold,men,,"Razor Eagles, Rift Scout",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Uncle Rold from Hollow Reef. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
29,Quartz Bazaar,Aunt Rhea,women,,"Blight Boars, Bollock Raider",Storm Titan Oxx,Grounded by conductive chains,Rescue Aunt Rhea from Quartz Bazaar. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
30,Gloombridge,Cousin Sera,women,,"Ash Scorpions, Rift Scout, Crimson Pyromancer",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Sera from Gloombridge. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
